filename,actual_label,predicted_label,confidence,video_length_s,inference_time_s,input_tokens,output_tokens
adl-22-cam0.mp4,NO_FALL,NO_FALL,0.85,8.0,4.284,1146,140
adl-23-cam0.mp4,NO_FALL,FALL,0.85,7.33,3.662,1146,107
adl-24-cam0.mp4,NO_FALL,NO_FALL,0.92,2.33,4.024,1146,141
adl-25-cam0.mp4,NO_FALL,NO_FALL,0.95,3.67,3.44,1146,124
adl-26-cam0.mp4,NO_FALL,NO_FALL,0.92,3.17,4.645,1146,133
adl-27-cam0.mp4,NO_FALL,NO_FALL,0.95,3.33,3.974,1146,124
adl-28-cam0.mp4,NO_FALL,NO_FALL,0.95,2.83,3.806,1146,125
adl-29-cam0.mp4,NO_FALL,NO_FALL,0.95,4.17,3.816,1146,121
adl-30-cam0.mp4,NO_FALL,FALL,0.92,13.33,3.849,1146,119
adl-31-cam0.mp4,NO_FALL,FALL,0.95,8.33,4.324,1146,137
adl-32-cam0.mp4,NO_FALL,FALL,0.95,6.67,3.397,1146,116
adl-33-cam0.mp4,NO_FALL,FALL,0.92,6.67,4.032,1146,138
adl-34-cam0.mp4,NO_FALL,FALL,0.95,6.37,3.87,1146,132
adl-35-cam0.mp4,NO_FALL,NO_FALL,0.92,9.33,5.194,1146,184
adl-36-cam0.mp4,NO_FALL,NO_FALL,0.92,11.33,3.477,1146,116
adl-37-cam0.mp4,NO_FALL,NO_FALL,0.85,11.67,4.181,1146,132
adl-38-cam0.mp4,NO_FALL,FALL,0.92,11.5,3.847,1146,137
adl-39-cam0.mp4,NO_FALL,FALL,0.92,9.0,5.497,1146,126
adl-40-cam0.mp4,NO_FALL,FALL,0.95,11.0,3.172,1146,109
